id;livreur_name;livreur_email;livreur_phone;livreur_address
1;Reduced Languedoc-Roussillon;"gI~Ro@PScp.`3\n";"28612";calculating
2;bypass Mandatory;"~BxoI@#i=S-k.z.AaJ";"3";orchid Chair
3;b;"'g>`@qy'&Q.L+z0uA";"75739";des
4;payment Chair;"[@tj-.,";"8189";seize
5;EXE de;"A+FC>e@n`*..";"299";Cambridgeshire compress
6;Unbranded;"]Wf@B9Pv..";"4";SSL uniform
7;user-facing brand;"/>]0b@2Rz$Y.&8";"76614";Charron
8;cutting-edge;"rvB@=t2.K";"57";program
9;Sterling;"|JF@LuFW.3[1Iv";"4934";Toys Guinée
10;expedite niches;"10rl0s@O!3Q'.u}";"099137";redundant
